,,,,,,
BookName,AuthorName,AverageRating,RatingCount,Score,TotalPeopleVoted
 Murder Most Royal ,S.J.  Bennett,3.67 avg rating , 3 ratings,score: 81,1 person voted
" A Promise of Torment (A Violent Agenda, #3) ",Mallory Fox,4.36 avg rating , 310 ratings,score: 81,1 person voted
 Buried in a Good Book (By the Book #1) ,Tamara Berry,4.07 avg rating , 162 ratings,score: 81,1 person voted
 Killers of a Certain Age ,Deanna Raybourn,4.49 avg rating , 55 ratings,score: 80,1 person voted
 Savage Knights (Princes of Devil's Creek Book 3) ,Jillian Frost,3.99 avg rating , 742 ratings,score: 80,1 person voted
 The Rumor Game ,Dhonielle Clayton,3.49 avg rating , 675 ratings,score: 79,1 person voted
 The Cookie Bible ,Rose Levy Beranbaum,4.60 avg rating , 208 ratings,score: 79,1 person voted
 Ordinary Monsters ,J.M.  Miro,4.16 avg rating , 219 ratings,score: 79,1 person voted
" The Masks and The Dancer (Their Obsession, #2) ",Bea Paige,4.46 avg rating ," 1,054 ratings",score: 78,1 person voted
 Don't Say We Didn't Warn You ,Ariel Delgado Dixon,3.33 avg rating , 141 ratings,score: 77,1 person voted
" Vile Bastards (Scarlett Force, #3) ",C.M. Stunich,4.62 avg rating , 780 ratings,score: 77,1 person voted
" Garnet Flats (The Edens, #3) ",Devney Perry,4.29 avg rating , 28 ratings,score: 76,1 person voted
 The Patron Saint of Second Chances ,Christine Simon,3.72 avg rating , 528 ratings,score: 76,1 person voted
" The Last Mile (Blood Ties, #2) ",Kat Martin,4.07 avg rating , 100 ratings,score: 75,1 person voted
 Gleanings (Arc of a Scythe #3.5) ,Neal Shusterman,4.77 avg rating , 13 ratings,score: 75,1 person voted
" Wicked Queen (Blackmoor Heirs, #4) ",Ivy Thorn,4.19 avg rating , 481 ratings,score: 75,1 person voted
 Deep House ,Thomas King,4.03 avg rating , 168 ratings,score: 75,1 person voted
 Bad At Love ,Gabriela Martins,4.20 avg rating , 20 ratings,score: 74,1 person voted
 Memory Minefield ,Mel Torrefranca,3.98 avg rating , 51 ratings,score: 73,1 person voted
 Nora Goes Off Script ,Annabel Monaghan,4.26 avg rating , 579 ratings,score: 73,1 person voted
 The Girl Who Knew Too Much ,Luanne Rice,it was ok 2.00 avg rating , 1 rating,score: 72,1 person voted
 The Way Spring Arrives and Other Stories: A Collection of Chinese Science Fiction and Fantasy in Translation from a Visionary Team of Female and Nonbinary Creators ,Yu Chen,4.07 avg rating , 220 ratings,score: 72,1 person voted
 Moonlight and the Pearler’s Daughter ,Lizzie Pook,3.84 avg rating , 422 ratings,score: 72,1 person voted
 Island Time ,Georgia Clark,3.55 avg rating , 222 ratings,score: 72,1 person voted
 The Prisoner ,B.A. Paris,3.80 avg rating , 10 ratings,score: 71,1 person voted
 Lucie Yi Is Not a Romantic ,Lauren Ho,3.85 avg rating , 96 ratings,score: 71,1 person voted
 Must Love Books ,Shauna Robinson,3.38 avg rating ," 3,323 ratings",score: 70,1 person voted
 The Twist of a Knife (Hawthorne and Horowitz #4) ,Anthony Horowitz,3.78 avg rating , 9 ratings,score: 70,1 person voted
 Chef's Kiss ,Jarrett Melendez,4.07 avg rating ," 1,372 ratings",score: 70,1 person voted
 Something to Hide (Inspector Lynley #21) ,Elizabeth  George,4.24 avg rating ," 8,188 ratings",score: 70,1 person voted
" Savages (Depraved Sinners, #3) ",Sheridan Anne,4.60 avg rating ," 1,766 ratings",score: 70,1 person voted
" Saint (Fable, #0) ",Adrienne Young,4.30 avg rating , 10 ratings,score: 70,1 person voted
" A Curse of Blood & Stone (Fate & Flame, #2) ",K.A. Tucker,4.03 avg rating , 37 ratings,score: 69,1 person voted
 Unraveling ,Brandon Leake,4.26 avg rating , 105 ratings,score: 69,1 person voted
 Nothing to Lose ,J.A. Jance,4.50 avg rating ," 3,664 ratings",score: 69,1 person voted
 Scattered Showers ,Rainbow Rowell,3.67 avg rating , 3 ratings,score: 69,1 person voted
 Shadow Fire (Shadow Riders #7) ,Christine Feehan,4.32 avg rating ," 1,593 ratings",score: 69,1 person voted
 Where Echoes Die ,Courtney Gould,4.40 avg rating , 10 ratings,score: 68,1 person voted
 Snow and Red ,Eileen Mueller,4.49 avg rating , 63 ratings,score: 68,1 person voted
" Overboard (V.I. Warshawski, #21) ",Sara Paretsky,4.23 avg rating , 708 ratings,score: 68,1 person voted
 The Matchmaker's Gift ,Lynda Cohen Loigman,4.43 avg rating , 207 ratings,score: 68,1 person voted
" Savage Road (Torpedo Ink, #7) ",Christine Feehan,4.40 avg rating ," 2,364 ratings",score: 68,1 person voted
 Comeuppance Served Cold ,Marion Deeds,3.87 avg rating , 302 ratings,score: 67,1 person voted
 Revenge Body ,Rachel Wiley,3.90 avg rating , 184 ratings,score: 67,1 person voted
 I'm Glad My Mom Died ,Jennette McCurdy,4.43 avg rating , 28 ratings,score: 67,1 person voted
 The End of Sleep ,Vyvyan Evans,3.88 avg rating , 24 ratings,score: 66,1 person voted
 We Can Never Leave This Place ,Eric LaRocca,4.51 avg rating , 132 ratings,score: 66,1 person voted
 Tumble ,Celia C. Pérez,4.88 avg rating , 8 ratings,score: 66,1 person voted
" Seeing Red (Little Red, #2; Cheeky Fairy Tales, #4) ",Colette Rhodes,4.21 avg rating , 498 ratings,score: 65,1 person voted
" When Blood Lies (Sebastian St. Cyr, #17) ",C.S. Harris,4.38 avg rating ," 1,511 ratings",score: 63,1 person voted
 Last Exit ,Max Gladstone,3.74 avg rating , 479 ratings,score: 63,1 person voted
 Juniper Harvey and the Vanishing Kingdom ,Nina Varela,4.33 avg rating , 9 ratings,score: 63,1 person voted
 Self-Made Boys ,Anna-Marie McLemore,4.78 avg rating , 9 ratings,score: 62,1 person voted
 Dreamland ,Nicholas Sparks,4.18 avg rating , 119 ratings,score: 62,1 person voted
" A Queen of Ruin (Deliciously Dark Fairytales, #4) ",K.F. Breene,4.63 avg rating , 240 ratings,score: 62,1 person voted
 Queen's Hope ,E.K. Johnston,3.83 avg rating ," 1,141 ratings",score: 61,1 person voted
" A Game of Retribution (Hades Saga, #2) ",Scarlett  St. Clair,4.16 avg rating , 483 ratings,score: 58,1 person voted
" A Very Merry Bromance (Bromance Book Club, #5) ",Lyssa Kay Adams,4.60 avg rating , 15 ratings,score: 58,1 person voted
 Fernhill Lane (Huckleberry Bay #2) ,Kristen Proby,it was ok 2.00 avg rating , 1 rating,score: 57,1 person voted
" One Last Chance (Blood Ties: The Logans, #3) ",Kat Martin,0.00 avg rating , 0 ratings,score: 55,1 person voted
 The Scramble (Single in Seattle #2.5) ,Kristen Proby,really liked it 4.00 avg rating , 1 rating,score: 54,1 person voted
 The Ruins ,Phoebe Wynne,3.30 avg rating , 63 ratings,score: 52,1 person voted
 Notes on an Execution ,Danya Kukafka,4.17 avg rating ," 12,512 ratings",score: 51,1 person voted
 You've Lost a Lot of Blood ,Eric LaRocca,3.61 avg rating , 930 ratings,score: 50,1 person voted
 The Rebound ,Catherine  Walsh,3.87 avg rating ," 2,263 ratings",score: 47,1 person voted
 Mr. Wrong Number ,Lynn Painter,3.76 avg rating ," 14,306 ratings",score: 46,1 person voted
" For You & No One Else (Say Everything, #3) ",Roni Loren,4.25 avg rating , 120 ratings,score: 45,1 person voted
" The Siren of Sussex (Belles of London, #1) ",Mimi Matthews,4.03 avg rating ," 2,190 ratings",score: 44,1 person voted
 We Are the Light ,Matthew Quick,4.53 avg rating , 15 ratings,score: 43,1 person voted
 Set on You ,Amy  Lea,3.86 avg rating ," 3,294 ratings",score: 43,1 person voted
" Wild Game (State of Grace, #3) ",Colette Rhodes,3.90 avg rating , 10 ratings,score: 41,1 person voted
 Bardo by the Sea (Izzy and Elton Mystery Series Book 1) ,Chad Alan Gibbs,4.16 avg rating , 37 ratings,score: 41,1 person voted
" The Reluctant Bride (Arranged Marriage, #1) ",Monica  Murphy,3.98 avg rating ," 1,454 ratings",score: 40,1 person voted
" An Art, A Craft, A Mystery: A Novel-in-Verse ",Laura Secord,4.20 avg rating , 5 ratings,score: 40,1 person voted
 The Date from Hell ,Gwenda Bond,3.60 avg rating , 255 ratings,score: 39,1 person voted
 The Ferryman's Toll (Hourglass #2) ,Daniel     James,3.83 avg rating , 6 ratings,score: 39,1 person voted
 The Conjure-Man Dies ,Rudolph Fisher,3.81 avg rating , 566 ratings,score: 38,1 person voted
" Hunting Winter (Blackmoor Revenge, #1) ",Ivy Thorn,3.72 avg rating , 25 ratings,score: 37,1 person voted
 The Foundling ,Ann Leary,3.98 avg rating , 197 ratings,score: 37,1 person voted
 King of Spades (Wonderland Book 1) ,Alta Hensley,4.26 avg rating , 561 ratings,score: 36,1 person voted
 Moldy Strawberries ,Caio Fernando Abreu,4.12 avg rating ," 1,996 ratings",score: 36,1 person voted
" Ruthless Kingdom (Boneyard Kings, #3) ",Becca Steele,4.31 avg rating , 816 ratings,score: 35,1 person voted
 Together We Burn ,Isabel Ibañez,3.96 avg rating , 478 ratings,score: 35,1 person voted
 Shaving with OCCAM ,Jacob M. Appel,4.25 avg rating , 4 ratings,score: 34,1 person voted
 Total: Stories ,Rebecca Miller,4.25 avg rating , 4 ratings,score: 33,1 person voted
 Woman of Light ,Kali Fajardo-Anstine,3.93 avg rating , 249 ratings,score: 32,1 person voted
 Jock Wanted (Rookie Rebels #6) ,Kate Meader,4.22 avg rating , 23 ratings,score: 31,1 person voted
 Groundskeeping ,Lee Cole,3.60 avg rating ," 2,789 ratings",score: 31,1 person voted
 Lovely Deceit (Pretty Little Dead Girl #2) ,E.M. Moore,4.64 avg rating , 22 ratings,score: 30,1 person voted
 Let Me Count the Ways: A Memoir ,Tomás Q. Morín,4.60 avg rating , 10 ratings,score: 30,1 person voted
 Patricia Wants to Cuddle ,Samantha  Allen,3.99 avg rating , 100 ratings,score: 29,1 person voted
 Tracy Flick Can't Win ,Tom Perrotta,3.82 avg rating , 190 ratings,score: 29,1 person voted
 Five ,Sara Cate,4.24 avg rating ," 1,330 ratings",score: 28,1 person voted
 I Was the President's Mistress!! ,Miguel Syjuco,3.22 avg rating , 18 ratings,score: 28,1 person voted
 A Trail of Crab Tracks: A Novel ,Patrice Nganang,0.00 avg rating , 0 ratings,score: 27,1 person voted
" Binding Rose (Mafia Wars, #1) ",Ivy Fox,3.98 avg rating ," 3,565 ratings",score: 26,1 person voted
 The Unwritten Book: An Investigation ,Samantha Hunt,4.38 avg rating , 68 ratings,score: 26,1 person voted
 Very Cold People ,Sarah Manguso,3.45 avg rating ," 1,627 ratings",score: 25,1 person voted
 Scattered All Over the Earth ,Yōko Tawada,3.69 avg rating , 455 ratings,score: 24,1 person voted
 Boys Come First ,Aaron Foley,4.29 avg rating , 41 ratings,score: 23,1 person voted
 If an Egyptian Cannot Speak English ,Noor Naga,4.02 avg rating , 125 ratings,score: 22,1 person voted
 First Time for Everything ,Henry   Fry,3.72 avg rating , 190 ratings,score: 21,1 person voted
" Tomorrow, and Tomorrow, and Tomorrow ",Gabrielle Zevin,4.39 avg rating , 442 ratings,score: 20,1 person voted
 Nevada ,Imogen Binnie,4.02 avg rating ," 4,255 ratings",score: 19,1 person voted
 The Trouble with Happiness: And Other Stories ,Tove Ditlevsen,4.06 avg rating , 198 ratings,score: 18,1 person voted
 The Shore ,Katie  Runde,4.20 avg rating , 249 ratings,score: 17,1 person voted
 Nightcrawling ,Leila Mottley,4.23 avg rating , 287 ratings,score: 16,1 person voted
 Forbidden City ,Vanessa Hua,3.74 avg rating , 156 ratings,score: 15,1 person voted
 Other People's Clothes ,Calla Henkel,3.77 avg rating ," 3,954 ratings",score: 14,1 person voted
 The Kingdom of Sand ,Andrew Holleran,3.91 avg rating , 32 ratings,score: 13,1 person voted
 Valleyesque: Stories ,Fernando A. Flores,4.16 avg rating , 31 ratings,score: 12,1 person voted
 The Pink Hotel ,Liska Jacobs,3.29 avg rating , 168 ratings,score: 11,1 person voted
 Face the Night: A Novel ,Alan Lastufka,3.81 avg rating , 81 ratings,score: 10,1 person voted
 The Deep Blue Between ,Ayesha Harruna Attah,3.53 avg rating , 335 ratings,score: 9,1 person voted
 A Previous Life ,Edmund White,3.17 avg rating , 124 ratings,score: 8,1 person voted
 Cult Classic ,Sloane Crosley,4.05 avg rating , 397 ratings,score: 7,1 person voted
 The Berlin Exchange ,Joseph Kanon,3.99 avg rating , 986 ratings,score: 6,1 person voted
 The Latinist ,Mark Prins,3.53 avg rating ," 1,394 ratings",score: 5,1 person voted
 Neruda on the Park ,Cleyvis  Natera,3.90 avg rating , 189 ratings,score: 4,1 person voted
" Thank You, Mr. Nixon ",Gish Jen,4.10 avg rating , 368 ratings,score: 3,1 person voted
 Unmissing ,Minka Kent,4.10 avg rating ," 14,294 ratings",score: 2,1 person voted
 The Colony ,Audrey Magee,4.24 avg rating , 367 ratings,score: 1,1 person voted
